Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U3,NCR321ZX,NCR321ZX,316,9,180,top
U4,NCR321ZX,NCR321ZX,316,18,180,top
U5,NCR321ZX,NCR321ZX,473,9,180,top
U6,NCR321ZX,NCR321ZX,473,18,180,top
U7,NCR321ZX,NCR321ZX,630,9,180,top
U8,NCR321ZX,NCR321ZX,630,18,180,top
U9,NCR321ZX,NCR321ZX,787,9,180,top
U10,NCR321ZX,NCR321ZX,787,18,180,top
U11,NCR321ZX,NCR321ZX,944,9,180,top
U12,NCR321ZX,NCR321ZX,944,18,180,top
